, auto_rpm = 420.37, auto_npackets = 107, prev_frac_packet = 0.891891
, auto_rpm = 419.831, auto_npackets = 108, prev_frac_packet = 0.581013
, auto_rpm = 419.751, auto_npackets = 108, prev_frac_packet = 0.290708
, auto_rpm = 419.791, auto_npackets = 107, prev_frac_packet = 0.990044
, auto_rpm = 419.692, auto_npackets = 108, prev_frac_packet = 0.714876
, auto_rpm = 420.375, auto_npackets = 108, prev_frac_packet = 0.26474
, auto_rpm = 419.927, auto_npackets = 107, prev_frac_packet = 0.929341
, auto_rpm = 420.14, auto_npackets = 108, prev_frac_packet = 0.539364
, auto_rpm = 419.592, auto_npackets = 108, prev_frac_packet = 0.28977
, auto_rpm = 419.7, auto_npackets = 108, prev_frac_packet = 0.0124104
, auto_rpm = 420.021, auto_npackets = 107, prev_frac_packet = 0.652736
, auto_rpm = 419.834, auto_npackets = 108, prev_frac_packet = 0.341084
, auto_rpm = 420.408, auto_npackets = 107, prev_frac_packet = 0.8824
, auto_rpm = 419.831, auto_npackets = 108, prev_frac_packet = 0.571531
, auto_rpm = 420.401, auto_npackets = 108, prev_frac_packet = 0.114503
, auto_rpm = 421.061, auto_npackets = 107, prev_frac_packet = 0.489007
, auto_rpm = 420.732, auto_npackets = 107, prev_frac_packet = 0.947545
, auto_rpm = 419.785, auto_npackets = 108, prev_frac_packet = 0.648425
, auto_rpm = 420.001, auto_npackets = 108, prev_frac_packet = 0.294037
, auto_rpm = 420.039, auto_npackets = 107, prev_frac_packet = 0.929718
, auto_rpm = 420.315, auto_npackets = 108, prev_frac_packet = 0.494899
, auto_rpm = 419.467, auto_npackets = 108, prev_frac_packet = 0.277536
, auto_rpm = 419.389, auto_npackets = 108, prev_frac_packet = 0.0801928
, auto_rpm = 419.525, auto_npackets = 107, prev_frac_packet = 0.847942
, auto_rpm = 420.023, auto_npackets = 108, prev_frac_packet = 0.48794
, auto_rpm = 420.203, auto_npackets = 108, prev_frac_packet = 0.0817649
, auto_rpm = 420.245, auto_npackets = 107, prev_frac_packet = 0.664715
, auto_rpm = 420.475, auto_npackets = 108, prev_frac_packet = 0.188826
, auto_rpm = 420.45, auto_npackets = 107, prev_frac_packet = 0.719477
, auto_rpm = 420.894, auto_npackets = 108, prev_frac_packet = 0.136594
, auto_rpm = 420.767, auto_npackets = 107, prev_frac_packet = 0.586251
, auto_rpm = 419.346, auto_npackets = 108, prev_frac_packet = 0.399911
, auto_rpm = 419.703, auto_npackets = 108, prev_frac_packet = 0.121956
, auto_rpm = 420.048, auto_npackets = 107, prev_frac_packet = 0.75536
, auto_rpm = 418.728, auto_npackets = 108, prev_frac_packet = 0.728264
, auto_rpm = 420.036, auto_npackets = 108, prev_frac_packet = 0.364744
, auto_rpm = 418.972, auto_npackets = 108, prev_frac_packet = 0.27472
, auto_rpm = 418.984, auto_npackets = 108, prev_frac_packet = 0.181468
, auto_rpm = 418.959, auto_npackets = 108, prev_frac_packet = 0.09465
, auto_rpm = 419.696, auto_npackets = 107, prev_frac_packet = 0.818515
, auto_rpm = 419.616, auto_npackets = 108, prev_frac_packet = 0.562767
, auto_rpm = 419.666, auto_npackets = 108, prev_frac_packet = 0.294206
, auto_rpm = 420.094, auto_npackets = 107, prev_frac_packet = 0.915879
, auto_rpm = 419.545, auto_npackets = 108, prev_frac_packet = 0.678335
, auto_rpm = 418.98, auto_npackets = 108, prev_frac_packet = 0.586109
, auto_rpm = 419.434, auto_npackets = 108, prev_frac_packet = 0.377035
, auto_rpm = 420.055, auto_npackets = 108, prev_frac_packet = 0.00866133
, auto_rpm = 420.12, auto_npackets = 107, prev_frac_packet = 0.623677
, auto_rpm = 420.199, auto_npackets = 108, prev_frac_packet = 0.218397
, auto_rpm = 419.157, auto_npackets = 108, prev_frac_packet = 0.0805794
, auto_rpm = 419.088, auto_npackets = 107, prev_frac_packet = 0.960711
, auto_rpm = 419.828, auto_npackets = 108, prev_frac_packet = 0.650697
, auto_rpm = 420.146, auto_npackets = 108, prev_frac_packet = 0.258997
, auto_rpm = 420.023, auto_npackets = 107, prev_frac_packet = 0.898883
, auto_rpm = 419.648, auto_npackets = 108, prev_frac_packet = 0.634929
, auto_rpm = 420.492, auto_npackets = 108, prev_frac_packet = 0.154652
, auto_rpm = 419.621, auto_npackets = 107, prev_frac_packet = 0.897767
, auto_rpm = 419.59, auto_npackets = 108, prev_frac_packet = 0.648805
, auto_rpm = 419.932, auto_npackets = 108, prev_frac_packet = 0.311901
, auto_rpm = 420.778, auto_npackets = 107, prev_frac_packet = 0.758608
, auto_rpm = 419.728, auto_npackets = 108, prev_frac_packet = 0.474242
, auto_rpm = 419.88, auto_npackets = 108, prev_frac_packet = 0.1508
, auto_rpm = 420.148, auto_npackets = 107, prev_frac_packet = 0.758638
, auto_rpm = 419.449, auto_npackets = 108, prev_frac_packet = 0.545852
, auto_rpm = 419.9, auto_npackets = 108, prev_frac_packet = 0.217363
, auto_rpm = 420.431, auto_npackets = 107, prev_frac_packet = 0.752722
, auto_rpm = 418.787, auto_npackets = 108, prev_frac_packet = 0.710219
, auto_rpm = 419.257, auto_npackets = 108, prev_frac_packet = 0.54683
, auto_rpm = 419.2, auto_npackets = 108, prev_frac_packet = 0.3981
, auto_rpm = 420.102, auto_npackets = 108, prev_frac_packet = 0.0177727
, auto_rpm = 420.461, auto_npackets = 107, prev_frac_packet = 0.545566
, auto_rpm = 419.991, auto_npackets = 108, prev_frac_packet = 0.193761
, auto_rpm = 419.802, auto_npackets = 107, prev_frac_packet = 0.890386
, auto_rpm = 420.184, auto_npackets = 108, prev_frac_packet = 0.489057
, auto_rpm = 420.647, auto_npackets = 107, prev_frac_packet = 0.969143
, auto_rpm = 419.995, auto_npackets = 108, prev_frac_packet = 0.616122
, auto_rpm = 419.637, auto_npackets = 108, prev_frac_packet = 0.35493
, auto_rpm = 420.412, auto_npackets = 107, prev_frac_packet = 0.895204
, auto_rpm = 419.996, auto_npackets = 108, prev_frac_packet = 0.542021
, auto_rpm = 419.607, auto_npackets = 108, prev_frac_packet = 0.28861
, auto_rpm = 419.925, auto_npackets = 107, prev_frac_packet = 0.953508
, auto_rpm = 420.314, auto_npackets = 108, prev_frac_packet = 0.518907
, auto_rpm = 420.214, auto_npackets = 108, prev_frac_packet = 0.109931
, auto_rpm = 420.4, auto_npackets = 107, prev_frac_packet = 0.653356
, auto_rpm = 419.836, auto_npackets = 108, prev_frac_packet = 0.341287
, auto_rpm = 420.479, auto_npackets = 107, prev_frac_packet = 0.864336
, auto_rpm = 419.934, auto_npackets = 108, prev_frac_packet = 0.526952
, auto_rpm = 419.202, auto_npackets = 108, prev_frac_packet = 0.377551
